ID,Dep,Nom,Code Postal,INSEE,Habitants,Densite,Surface,Longitude,Latitude,Altitude Max
1,1,Ozan,1190,1284,618,93,6.6,4.91667,46.3833,205
2,1,Cormoranche-sur-Saône,1290,1123,1058,107,9.85,4.83333,46.2333,211
3,1,Plagne,1130,1298,129,20,6.2,5.73333,46.1833,922
4,1,Tossiat,1250,1422,1406,138,10.17,5.31667,46.1333,501
5,1,Pouillat,1250,1309,88,14,6.23,5.43333,46.3333,770
6,1,Torcieu,1230,1421,698,65,10.72,5.4,45.9167,782
7,1,Replonges,1620,1320,3500,210,16.6,4.88333,46.3,207
8,1,Corcelles,1110,1119,243,17,14.16,5.58333,46.0333,1081
9,1,Péron,1630,1288,2143,82,26.01,5.93333,46.2,1501
10,1,Relevant,1990,1319,466,37,12.38,4.95,46.0833,282
11,1,Chaveyriat,1660,1096,927,54,16.87,5.06667,46.1833,260
12,1,Vaux-en-Bugey,1150,1431,1169,142,8.22,5.35,45.9167,681
13,1,Maillat,1430,1228,668,59,11.31,5.55,46.1333,825
14,1,Faramans,1800,1156,681,60,11.22,5.11667,45.9,306
15,1,Béon,1350,1039,373,36,10.3,5.75,45.8333,1412
16,1,Saint-Bernard,1600,1339,1375,436,3.15,4.73723,45.945,198
17,1,Rossillon,1510,1329,148,18,8.07,5.6,45.8333,1022
18,1,Pont-d'Ain,1160,1304,2627,234,11.22,5.33333,46.05,314
19,1,Nantua,1460,1269,3713,290,12.79,5.61667,46.15,1125
20,1,Chavannes-sur-Reyssouze,1190,1094,680,41,16.55,5,46.4333,218
21,1,Neuville-les-Dames,1400,1272,1504,56,26.59,5,46.1667,271
22,1,Flaxieu,1350,1162,63,22,2.79,5.73333,45.8167,385
23,1,Hotonnes,1260,1187,306,10,28.4,5.68333,46,1338
24,1,Saint-Sorlin-en-Bugey,1150,1386,1061,116,9.07,5.36667,45.8833,700
25,1,Songieu,1260,1409,130,6,20.58,5.7,45.9667,1275
26,1,Virieu-le-Petit,1260,1453,309,18,16.36,5.71667,45.9,1524
27,1,Saint-Denis-en-Bugey,1500,1345,2178,834,2.61,5.33333,45.95,338
28,1,Charnoz-sur-Ain,1800,1088,911,137,6.62,5.21667,45.8667,244
29,1,Chazey-sur-Ain,1150,1099,1464,66,21.95,5.25,45.9,261
30,1,Marchamp,1680,1233,118,9,13.11,5.55,45.7833,940
31,1,Culoz,1350,1138,2909,150,19.36,5.78333,45.85,1430
32,1,Mantenay-Montlin,1560,1230,288,26,10.8,5.08333,46.4167,222
33,1,Marboz,1851,1232,2182,54,40.14,5.25,46.3333,240
34,1,Foissiat,1340,1163,1912,47,40.36,5.18333,46.3667,228
35,1,Treffort-Cuisiat,1370,1426,2204,55,39.41,5.36834,46.2714,681
36,1,Izieu,1300,1193,201,26,7.67,5.63333,45.65,758
37,1,Saint-Étienne-du-Bois,1370,1350,2441,86,28.38,5.28333,46.2833,259
38,1,Hauteville-Lompnes,1110,1185,4044,80,50.34,5.6,45.9667,1240
39,1,Saint-Trivier-sur-Moignans,1990,1389,1877,44,41.99,4.9,46.0667,289
40,1,Peyriat,1430,1293,171,28,5.96,5.51667,46.15,825
41,1,Évosges,1230,1155,140,11,12.08,5.5,45.9583,1001
42,1,Poncin,1450,1303,1644,83,19.77,5.4,46.0833,540
43,1,Crans,1320,1129,269,20,13.23,5.21667,45.9667,322
44,1,Montréal-la-Cluse,1460,1265,3457,269,12.83,5.57084,46.1867,960
45,1,Cleyzieu,1230,1107,135,17,7.82,5.43333,45.9,927
46,1,Lompnieu,1260,1221,122,10,11.35,5.65,45.9667,1241
47,1,Villereversure,1250,1447,1208,69,17.45,5.38333,46.1833,480
48,1,Saint-Martin-du-Mont,1160,1374,1651,58,28.09,5.33333,46.1,556
49,1,Saint-Genis-Pouilly,1630,1354,8914,912,9.77,6.01667,46.25,502
50,1,Bolozon,1450,1051,94,19,4.92,5.48333,46.2,673
51,1,Confrançon,1310,1115,1157,63,18.17,5.06667,46.2667,224
52,1,Lochieu,1260,1218,91,12,7.07,5.71667,45.9333,1426
53,1,Chanoz-Châtenay,1400,1084,706,52,13.42,5.03333,46.1833,268
54,1,Villebois,1150,1444,1153,79,14.46,5.43333,45.85,960
55,1,Ceignes,1430,1067,265,26,10.01,5.5,46.1167,862
56,1,Saint-Didier-sur-Chalaronne,1140,1348,2776,111,24.98,4.81667,46.1667,223
57,1,Revonnas,1250,1321,788,101,7.75,5.33333,46.1667,504
58,1,Bourg-Saint-Christophe,1800,1054,1173,130,8.98,5.16667,45.8833,305
59,1,Condeissiat,1400,1113,756,34,21.64,5.08333,46.1667,268
60,1,Pirajoux,1270,1296,360,27,12.99,5.3,46.3833,237
61,1,Chalamont,1320,1074,2322,70,32.88,5.16667,46,330
62,1,Le Plantay,1330,1299,540,27,19.96,5.08333,46.0167,286
63,1,Versailleux,1330,1434,332,17,18.77,5.1,45.9833,303
64,1,Montagnat,1250,1254,1646,119,13.75,5.28333,46.1667,282
65,1,Vieu,1260,1442,380,58,6.54,5.68333,45.9,540
66,1,Saint-André-de-Corcy,1390,1333,2991,144,20.73,4.95,45.9167,306
67,1,Bressolles,1360,1062,709,91,7.73,5.1,45.8667,292
68,1,Péronnas,1960,1289,6054,344,17.55,5.2,46.1833,277
69,1,Colomieu,1300,1110,115,19,5.96,5.61667,45.7333,476
70,1,Monthieux,1390,1261,599,55,10.75,4.93333,45.95,311
71,1,Saint-Jean-sur-Reyssouze,1560,1364,744,27,27.48,5.06667,46.4,218
72,1,Garnerans,1140,1167,656,76,8.57,4.83333,46.2,215
73,1,Montrevel-en-Bresse,1340,1266,2362,229,10.27,5.13333,46.3333,220
74,1,Conand,1230,1111,104,6,15.28,5.46667,45.8833,1021
75,1,Challes-la-Montagne,1450,1077,179,23,7.65,5.46667,46.1333,700
76,1,Mogneneins,1140,1252,727,84,8.57,4.81667,46.1333,238
77,1,Thoissey,1140,1420,1540,1149,1.34,4.8,46.1667,178
78,1,Chaleins,1480,1075,1165,68,17,4.8,46.0333,267
79,1,Neuville-sur-Ain,1160,1273,1571,79,19.79,5.36667,46.0833,427
80,1,Thil,1120,1418,1070,207,5.15,5.01667,45.8167,183
81,1,Jujurieux,1640,1199,2097,136,15.39,5.41667,46.0333,633
82,1,Oncieu,1230,1279,91,11,7.76,5.46667,45.95,807
83,1,Lurcy,1090,1225,393,81,4.81,4.76667,46.0667,233
84,1,Balan,1360,1027,2348,130,18.04,5.1,45.8333,233
85,1,Ambutrix,1500,1008,729,139,5.22,5.33333,45.9333,370
86,1,Sainte-Croix,1120,1342,534,50,10.62,5.05195,45.8942,294
87,1,Blyes,1150,1047,886,95,9.32,5.25,45.85,243
88,1,Conzieu,1300,1117,135,18,7.2,5.6,45.7333,1020
89,1,Niévroz,1120,1276,1488,142,10.46,5.06667,45.8333,197
90,1,Nurieux-Volognat,1460,1267,1058,54,19.34,5.52667,46.1856,840
91,1,Ambléon,1300,1006,116,19,5.88,5.6,45.75,940
92,1,Saint-Maurice-de-Gourdans,1800,1378,2498,98,25.39,5.2,45.8167,244
93,1,Chézery-Forens,1200,1104,434,9,46.57,5.88333,46.2167,1692
94,1,Sault-Brénaz,1150,1396,1043,185,5.61,5.41667,45.85,660
95,1,Murs-et-Gélignieux,1300,1268,241,37,6.46,5.66667,45.6333,460
96,1,Le Petit-Abergement,1260,1292,138,5,26.95,5.65,46.0333,1177
97,1,Cormoz,1560,1124,625,31,19.56,5.23333,46.45,223
98,1,Saint-Martin-de-Bavel,1510,1372,443,52,8.5,5.68333,45.85,442
99,1,Saint-Trivier-de-Courtes,1560,1388,1013,61,16.53,5.08333,46.4667,218
100,1,Boyeux-Saint-Jérôme,1640,1056,321,18,16.94,5.46667,46.0333,900
101,1,Château-Gaillard,1500,1089,1818,113,16.06,5.3,45.9667,253
102,1,Prémeyzel,1300,1310,234,30,7.63,5.65,45.6833,750
103,1,Arandas,1230,1013,163,11,14.1,5.48333,45.9,939
104,1,Châtenay,1320,1090,352,23,14.95,5.2,46.0333,317
105,1,Innimond,1680,1190,114,8,13.44,5.56667,45.7833,1218
106,1,Boz,1190,1057,496,67,7.31,4.9,46.4,206
107,1,Briord,1470,1064,893,72,12.29,5.46667,45.7833,580
108,1,Reyrieux,1600,1322,4093,260,15.7,4.81667,45.9333,297
109,1,Matafelon-Granges,1580,1240,652,30,21.54,5.56667,46.2667,783
110,1,Drom,1250,1150,209,26,7.78,5.36667,46.2167,505
111,1,Châtillon-en-Michaille,1200,1091,3120,82,37.62,5.78333,46.1333,1241
